platform,brand,content_id,user_or_channel_id,followers,channel_cost,subscribers,content_type
Instagram,라로슈포제,DaVdx71zrfj,blow_a_whistle,1839,NULL,NULL,릴스
Instagram,라로슈포제,DaVEVrthA8U,yuna.log,3384,NULL,NULL,릴스
Instagram,라로슈포제,DaVKn1pPFQh,rimmi92,18783,NULL,NULL,릴스
Instagram,라로슈포제,DaVKSuiBN8A,ata.or.kr,47077,NULL,NULL,릴스
Instagram,라로슈포제,DaVLXE0Szze,today_tomato_,12037,NULL,NULL,릴스
Instagram,라로슈포제,DaVMEleM4yO,insight_yun,3769,NULL,NULL,릴스
Instagram,라로슈포제,DaVMJuOpBDN,i_this.me,1589,NULL,NULL,릴스
Instagram,라로슈포제,DaVN7T3JGDA,gwak__dragon,2658,NULL,NULL,릴스
Instagram,라로슈포제,DaVNJVKz8la,momoh_mom,10614,NULL,NULL,릴스
Instagram,라로슈포제,DaVNxh1pNd5,gomzzely,47317,NULL,NULL,릴스
Instagram,라로슈포제,DaVPQmLSjWc,www_kkomkkom_com,3895,NULL,NULL,릴스
Instagram,라로슈포제,DaVQOaWCjPj,r_don__,13791,NULL,NULL,릴스
Instagram,라로슈포제,DaVRAQMTUUi,circlemommy,45378,NULL,NULL,릴스
Instagram,라로슈포제,DaVSx7MwBqE,jinyi0715,2759,NULL,NULL,릴스
