channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,에뛰드,NULL,NULL,94gPEbxpYIo,6060,102,0,2145000,2021-09-06,353.96,"실제발색✨NEW 픽싱틴트 리뷰(에뛰드X재유) + 어텀클로짓 가을팔레트 음영 메이크업ㅣ마스크에안묻는립ㅣFixing Tintㅣ메이크업튜토리얼ㅣ플레이컬러아이즈ㅣ가을Gaeul"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,9hQ7dGoIJsU,1800,23,0,2145000,2024-11-08,1191.67,"[ASMR] 저랑 키링 파우치 꾸며요🐰💕"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,바이브랩,NULL,NULL,9l7rz9B7FI0,5671,69,21,2145000,2024-07-27,378.24,"하늘의 별따기🌟SNS 존좋 광고템 찾기❗️(임보라 톤업크림ㅣ머리 빠지면 일단 쓰는 템ㅣ입술 주름 1분 삭제 립밤ㅣ하루 종일가는 립타투ㅣ팔자,목주름 삭제 패치) 가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,9nWMBbramGA,3300,37,4,2145000,2024-12-01,650,"탈색❌..눈썹만은 아이돌..👀🎤 #짱구눈썹탈출 #오픈유어아이즈 #아이라이즈"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,AbGPjcf5zzQ,3332,111,3,2145000,2024-06-29,643.758,"얼굴이 꽃이라서 부케가💐필요없는 메이크업 #makeup #섀도우팔레트 #부케가르니"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,센텔리안24,NULL,NULL,aChoSAkIZ5s,14291,316,52,2145000,2025-01-28,150.094,"구독자 요청..🌸저 먼저 봄맞이 좀 할게요🩷..(핑잘봄 데일리 메이크업ㅣ봄웜 팔레트.립.블러셔 추천ㅣ홈케어 디바이스 추천ㅣ속쌍·무쌍 메이크업) 가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,슬림9,NULL,NULL,aObSmiWYBCQ,8463,276,75,2145000,2025-03-18,253.456,"EVENT🎁여리핏 기본템 6가지+핏 예쁜 이너웨어까지˚ ༘♡ 1~3만원대(기본티ㅣ슬림핏ㅣ레이어드티ㅣ크롭티ㅣ교복템ㅣ심리스브라·네모팬티 추천) 가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,AzOXtd19j2Q,1164,20,0,2145000,2021-12-28,1842.78,"💎연말 꾸꾸꾸 메이크업✨ㅣ아이돌 속눈썹 쉽게 만들기ㅣ가닥 속눈썹 붙히는 법(feat. 코링코 톡톡하라 필터 속눈썹 후기)ㅣ연말 파티 메이크업ㅣ웜톤쿨톤 립조합 추천ㅣ가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,b1hW6xhpy4E,1231,36,0,2145000,2021-09-28,1742.49,"여신강림💗주경이의 가을 메이크업(+성형메이크업)ㅣ조효진쉐딩ㅣ그림자쉐딩ㅣ올리브영 세일ㅣFixing Tintㅣ웜톤팔레트+웜톤 립 꿀조합ㅣ속쌍메이크업ㅣ가을Gaeul"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,스킨푸드,NULL,NULL,biBjuwb9E18,5324,120,10,2145000,2024-05-30,402.893,"찐템들 가득-올영세일에 이건 꼭 사!💚#올영추천템 #올리브영 #올영세일 #당근패드"
