바르너 Baruner	바르너	56475	8
닥터딥-Dr.Deep	닥터딥	64658	8
Ring Tap - 링탭	링탭	166184	7
컬러그램 - Colorgram	컬러그램	258	7
노도르 Nodor	노도르	148633	7
테라퓨젠 Terafugen	테라퓨젠	158717	7
무백_moo100	무백	76759	7
VDL Cosmetics	VDL	353	7
에이딕트 a ddct	에이딕트	4370	7
네모닉 nemonic	네모닉	152961	7
danp_official_account	댄프	165477	7
루미르 Lummir	루미르	97071	7
AI Video - AI catch	캐치	99234	7
Losy Kim 로지킴	로지킴	165982	7
음식물처리기 린클	린클	213	7
메이크프렘 makep:rem	메이크프렘	348	7
브리쎄 Brissé	브리쎄	164436	7
다슈_올리브영	다슈	225	7
iloom 일룸	일룸	31123	7
약손명가 헬스케어	약손명가	66036	7
코드잇 스프린트	코드잇	28003	6
포뷰트-텍스처쉐이크	포뷰트	27974	6
닥터지 Dr.G	닥터지	100	6
환테크 플랫폼 스위치원	스위치원	56273	6
끌리젠 Kklizen	끌리젠	166046	6
텐바이텐(www.10x10.co.kr)	텐바이텐	150	6
마이루핏 myroufit	마이루핏	35382	6
엘르 이너웨어	엘르	109980	6
란시노 코리아 Lansinoh korea	란시노	4015	6
AI Catch video	캐치	99234	6
Clabiane 클라비안	클라비안	154293	6
Zigzag.item	지그재그	152970	6
비비안 (VIVIEN)	비비안	152911	6
치킨매니아 창업	치킨매니아	141	6
Bodyluv 바디럽	바디럽	4398	6
누즈 nuse	누즈	85944	6
멀티잇 - Multicampus IT	멀티잇	35942	5
맘스터치 - 버거&치킨	맘스터치	71	5
Grip Bank	그립	864	5
스킨푸드 Skinfood	스킨푸드	75	5
포뷰트-스케일러	포뷰트	27974	5
리큅 L'EQUIP	리큅	97108	5
씨드비 Seedbee	씨드비	35230	5
Ballop-밸롭	밸롭	61662	5
FINV 핀브	핀브	164119	5
비욘드 (BEYOND)	비욘드	65160	5
GEAR BY GASH	가쉬	165308	5
색동서울 Saekdong Seoul	색동서울	168622	5
통영숙수 tongyeongchef	통영숙수	164107	5
루시아이 크리스마스	루시아이	166341	5
듀이셀.Offical	듀이셀	155519	5
오뚜기 라면.ZIP	오뚜기	155	5
칼로 Calo	경남제약	94653	5
리얼베리어 Real Barrier	리얼베리어	461	5
Hei glow	글로우	165180	5
Neoteria planet	네오테리아	165289	5
Candorlov Cosmetics	칸도럽	164295	5
라라스윗 Lalasweet	라라스윗	35406	4
Naming. 네이밍 코스메틱	네이밍	4346	4
LATE - 레이트	레이트	94694	4
