branded_page_name,brand_name_kr,brand_logo_id,ad_count
NOL 인터파크투어,야놀자,234,14
제이숲,제이숲,66588,14
밸런스온,밸런스온,91642,14
Danceonthefloor,댄스온더플로어,165362,14
다우니 - Downy Korea ,다우니,199,14
슬로우허밍,슬로우허밍,46178,14
Casetify KR,케이스티파이,89,14
gundamdak,건담닭,164121,14
리덴스,리덴스,110604,14
리쥬란 코스메틱,리쥬란코스메틱,489,13
러븀 Luvum,러븀,4520,13
Coolean 쿨린,쿨린,61030,13
일센치_1cm,일센치,165925,13
Marhen.j - 마르헨제이,마르헨제이,3796,13
콰티,콰티,118961,13
좋은 옷엔 좋은 옷걸이 - 엠부띠끄,엠부띠끄,166265,13
오브베이스,오브베이스,65210,13
아모레퍼시픽 Amorepacific,아모레퍼시픽,125,13
다이어트학교,다이어트학교,57702,13
BY LAB 바이랩,바이랩,159292,13
레디블룸 readybloom,레디블룸,152197,13
비브비브-vivevive,비브비브,90253,13
춘몽-ChunMong,춘몽,146446,13
Kangol Korea,캉골,20051,13
슬림9,슬림9,131582,13
어반사이드 urbanside,어반사이드,316,13
동성제약 Dongsung-Pharm,동성제약,155288,12
MJade,엠제이드,31135,12
휘게 언더웨어,휘게언더웨어,150883,12
WAUG,와그,808,12
아이디얼포맨 ideal for men,아이디얼포맨,3188,12
Kindoh - 킨도,킨도,110625,12
테라로직,테라로직,56212,12
AHC 에이에이치씨,AHC,254,12
InBody,인바디,64911,12
NS_official,NS,96761,12
Dr.LIENJANG,닥터리엔장,165949,12
말하는 공룡친구 카티,카티,66395,12
912_Official,912,166050,12
olmeraofficial,올메라,165972,12
마테라소,마테라소,164810,12
해서린,해서린,42053,12
PoseGanch,포즈간츠,66426,12
Bondaz.Official,본다츠,165277,12
그로서리서울 Grocery Seoul,그로서리서울,163737,12
Tage,테이지,28595,12
플라이코지,플라이코지,154482,12
이옴 - EIOM,이옴,164317,12
온리추얼,온리추얼,165256,12
WAYDN,웨이든,153794,12
Hang Ten Korea,행텐,36081,12
VOGA,보가제화,146534,12
주다안 Judaan,주다안,165299,12
청미정,청미정,85942,12
Sione,시오네,173907,11
Leadermune,리더뮨,171917,11
Genierr,제니에,171886,11
다슈,다슈,225,11
릴리바이레드 lilybyred,릴리바이레드,836,11
라우드소싱,라우드소싱,110687,11
Xiaomi Korea,샤오미,913,11
Brandless - 브랜드리스,브랜드리스,27261,11
Wechik,위칙,154421,11
오렌즈,오렌즈,128895,11
유팡 UPANG,유팡,165169,11
루이뱅코리아,루이뱅,166289,11
아델레아,아델레아,166212,11
꼼지락,꼼지락,97113,11
디마프 레지나,디마프,122038,11
포렌코즈,포렌코즈,36362,11
쉐이크베이비,쉐이크베이비,97059,11
미소 Miso,미소,93381,11
코링코 Coringco,코링코,66593,11
Lenbling,렌블링,165479,11
AMELI,아멜리,4363,11
히말라야 나드,나드,131585,11
슬립퍼,슬립퍼,83162,11
큐원 상쾌환,큐원,257,11
"닥터리의 로하스밀 - 이유식, 육아정보",로하스밀,165103,11
Pranarom Korea,프라나롬,34195,11
MIMZ,밈즈,155062,11
JMW,JMW,3200,11
danp.kr,댄프,165477,11
Mumchit - 멈칫,멈칫,40996,10
쿤달 - Kundal,쿤달,694,10
미리캔버스,미리캔버스,3790,10
1:1 실시간 화상영어 캠블리,캠블리,110,10
Aero K 에어로케이항공,에어로케이 항공,91833,10
아이레시피 irecipe,아이레시피,66612,10
프롬비,프롬비,99690,10
비상교육 온리원 중등,비상교육 온리원 중등,60930,10
브라운 면도기 Braun Korea,브라운,3773,10
eSpoir 에스쁘아,에스쁘아,117,10
데코뷰,데코뷰,65225,10
아이제제,아이제제,166312,10
벤딕트_vendict,벤딕트,94711,10
커먼유니크,커먼유니크,147740,10
Demar3,디마르3,117381,10
