branded_page_name,matched_brand_kr,brand_logo_id,count,verdict
삼성화재 N잡크루,삼성화재,33178,1,yes
Schick.intuition.korea,쉬크,152750,1,yes
BadBlue. 배드블루,배드블루,4358,1,yes
Ansouis house,앙수이,154287,1,yes
아만 허니,에이치엘비,91647,1,review
쁘띠엘린 공식계정,쁘띠엘린,66279,1,yes
Loop Seoul · 루프 서울,루프,165367,1,yes
RHINOSHIELD 라이노쉴드,라이노쉴드,156698,1,yes
MIHK 미학,미학,164311,1,yes
Freshian-프레시안,프레시안,28382,1,yes
_lee_nuyhij,Lee,129741,1,no
YAO hair brush,야오,165135,1,yes
포엘리에 옴므,포엘리에,65163,1,yes
몽제 Mongze,몽제,53713,1,yes
비디비치 (VIDIVICI),비디비치,29022,1,yes
Barrel 배럴,배럴,32849,1,yes
Redroot 레드루트,레드루트,168594,1,yes
Branden Taiwan,브랜든,49771,1,yes
지니비 genibee,지니비,150868,1,yes
포뷰트-두피앰플,포뷰트,27974,1,yes
GLAD Hotels & Resorts - 글래드 호텔앤리조트,글래드,92455,1,yes
"700여개 카테고리 전문가 찾기, 크몽",크몽,32904,1,yes
대한민국 산림청,산림청,4559,1,yes
세기피앤씨 알리미 김대리,세기피앤씨,145979,1,yes
Glam Up,글램,4006,1,review
BOSE Doubul,보스,93,1,yes
주식회사 베베데코,베베데코,166254,1,yes
에너자이저 홈즈,에너자이저,3793,1,yes
퍼블리 PUBLY,퍼블리,115800,1,yes
Mahagrid - 마하그리드,마하그리드,4323,1,yes
로그인 포레스트,포레스트,129563,1,review
샐러드판다 - Salad Panda,샐러드판다,90214,1,yes
소노호텔앤리조트-Sonohotelsresorts,소노호텔앤리조트,153734,1,yes
테일러팜스 Taylor Farms,테일러팜스,54713,1,yes
크로켓 : 전세계 커넥팅 쇼핑,크로켓,65153,1,yes
케어놀로지 Carenology,케어놀로지,50296,1,yes
Neworigin a2,뉴오리진,53127,1,yes
캐스키드슨 뷰티,캐스키드슨,148634,1,yes
Cavish - 카비시,카비시,155853,1,yes
nomia_interior,노미아,164851,1,yes
썬플랜 Son Plan,썬플랜,153473,1,yes
Le Jardin Retrouvé,쟈뎅,47172,1,yes
"윙잇, 일상을 편하고 맛있게",윙잇,23,1,yes
LG전자 온라인 입점대행점,LG전자,11,1,yes
TAG EIGHT LLC.,투쿨포스쿨,342,1,review
Innisfree (이니스프리),이니스프리,63,1,yes
도노 DONO,도노,143545,1,yes
"콰트, 운동의 쉬운 시작",콰트,93513,1,yes
Korea Samsonite,쌤소나이트,33271,1,yes
피캄 P.CALM LAB,피캄,29678,1,yes
FILA Underwear,휠라,693,1,yes
レブロン/Revlon,레브론,33567,1,yes
농심 (Nongshim),농심,92,1,yes
셀트리온 지피덤,셀트리온,155575,1,yes
Karl&Hans 칼앤한스,칼앤한스,129857,1,yes
코오롱몰 Kolonmall,코오롱몰,56508,1,yes
Ashrolen 애쉬로렌,애쉬로렌,54864,1,yes
제니하우스 코스메틱,제니하우스,4405,1,yes
매일의 친구 데이메이트,데이메이트,171896,1,yes
바디럽-Bodyluv,바디럽,4398,1,yes
썬슈룹 sun.shurupp,썬슈룹,171881,1,yes
타입넘버 TYPE No.,타입넘버,3783,1,yes
Snowpeak_outdoor,스노우피크,78432,1,yes
ETUDE 에뛰드,에뛰드,81,1,yes
에잇세컨즈 - 8seconds,에잇세컨즈,3136,1,yes
케어존 - Carezone,케어존,146450,1,yes
LANEIGE 라네즈,라네즈,80,1,yes
ASYOU 환인제약 애즈유,애즈유,165345,1,yes
기능성 유산균 바이크롬,바이크롬,90568,1,yes
Mom&twins,MoM,166196,1,review
효지 - HYOJI,효지,147738,1,yes
INGA 잉가,잉가,62125,1,yes
Now Speak English Online,스픽,351,1,yes
삼성화재 N잡 크루,삼성화재,33178,1,yes
래피즈 - REPIZ,래피즈,165314,1,yes
하나금융그룹 (Hana Financial Group),하나금융그룹,41754,1,yes
채비공간 Chaebgonggan.official,채비공간,166259,1,yes
AI Catch: AI Video APP,캐치,99234,1,review
Columbia Sportswear,컬럼비아,308,1,yes
인생 속옷 by 바디코,바디코,61042,1,yes
롯데웰푸드 - LOTTE Wellfood,롯데웰푸드,49321,1,yes
Bclose 비클로즈,비클로즈,165988,1,yes
Montbell de foret,몽벨,689,1,yes
Lukt Kindy,룩트,146247,1,yes
바나날 - Bananal,바나날,166292,1,yes
바잇미 - Bite me,바잇미,164920,1,yes
다신샵&다이어트신 - 다이어트 맛있게 관리하자,다신샵,14717,1,yes
Nooni Skincare,누니,168609,1,yes
투쿨포스쿨(too cool for school),투쿨포스쿨,342,1,yes
아이레시피 irecipe jp,아이레시피,66612,1,yes
OFRAME.by raf,오프레임,153893,1,yes
BJJ Fanatics Online Store,파나틱스,164401,1,review
아티드 ATD,아티드,40973,1,yes
Meunder - 미언더,미언더,156963,1,yes
피클플러스 PicklePlus,피클플러스,108460,1,yes
Objet by Kundal,쿤달,694,1,yes
Emma Mattress - 엠마 매트리스,Emma,34019,1,yes
Nesh 네쉬,네쉬,3841,1,yes
아파트멘터리 Apartmentary,아파트멘터리,42051,1,yes
eastserviceshop.Page,이스트서비스샵,165280,1,yes
셀로딘-celodin,셀로딘,155076,1,yes
웅진 스마트올,웅진,686,1,yes
차일드라이프 with 온누리스토어,온누리스토어,64497,1,no
Travelling summer,트래블링,50306,1,yes
위타민 weetamin,위타민,165389,1,yes
윌슨 테니스,윌슨,62416,1,yes
sigongsa_books,시공사 출판사,156190,1,yes
TRUU 童,TRUU,97333,1,yes
noirnine_lovedby,누아르나인,165970,1,yes
Evercell 에버셀,에버셀,118262,1,yes
