branded_page_name,count,exact_match,exact_match_ci,r1_decor,r2_segment,r3_homoglyph
Theorth,16,0,0,0,0,0
코멘트,16,0,0,0,0,0
Pixel_kor,16,0,0,0,0,0
Layerlab,16,1,1,0,0,0
주미소 jumiso,16,0,0,0,1,0
Ninjakitchen.kr,15,0,0,0,0,0
LAYER 레이어,15,0,0,0,0,0
오가본,15,1,1,0,0,0
Negative Split Club,15,0,0,0,0,0
위드렌즈,15,1,1,0,0,0
Bodiora,15,0,0,0,0,0
라쿠텐 트래블 - Rakuten Travel,15,0,0,0,0,0
라로슈포제 La Roche-Posay,15,0,0,0,1,0
BYNIQ,15,1,1,0,0,0
모두의연구소,15,1,1,0,0,0
단색 Dansaek,15,0,0,0,1,0
Oable 오어블,15,0,0,0,0,0
Cafe24,15,0,1,0,0,0
CaratMe,15,0,0,1,0,0
풀라이트FULLight,15,0,0,0,0,0
유폰 (Uphone),15,0,0,0,0,0
동국제약 토탈헬스케어,15,0,0,0,1,0
닥터블릿,15,1,1,0,0,0
인생 아이템,15,0,0,0,0,0
クオリティファースト （Quality 1st ）,15,0,0,0,0,0
Julie's Choice,15,1,1,0,0,0
lululemon Seoul,15,0,0,0,1,0
운세위키,15,0,0,0,0,0
하림펫푸드,15,1,1,0,0,0
링글 틴즈 1:1 화상영어,15,0,0,0,1,0
무무키,15,0,0,0,0,0
한고연몰,15,1,1,0,0,0
식물나라,15,1,1,0,0,0
SOOO,15,0,0,0,0,0
Mixxo,15,1,1,0,0,0
클리오 CLIO,15,0,0,0,1,0
프롬투미 Fromtome,15,0,0,0,0,0
달리프,14,1,1,0,0,0
데카트론코리아,14,0,0,1,0,0
플로랑 - 프리미엄 섬유 향수,14,0,0,0,1,0
데이지크,14,1,1,0,0,0
Hey Greeny,14,0,0,0,0,0
NOL 티켓,14,0,0,0,1,0
_mimichance,14,0,0,0,0,0
힘콩의재미어트,14,0,0,0,0,0
NOL 인터파크투어,14,0,0,0,1,0
제이숲,14,1,1,0,0,0
링크로,14,0,0,0,0,0
먹또먹,14,0,0,0,0,0
꿀팁 저장소 ,14,0,0,0,0,0
MEDI IN LAB,14,0,0,0,0,0
오래오래 건강하게 오건,14,0,0,0,0,0
밸런스온,14,1,1,0,0,0
Danceonthefloor,14,0,1,0,0,0
다우니 - Downy Korea ,14,0,0,0,1,0
추λΓ己6,14,0,0,0,0,0
Papstars,14,0,0,0,0,0
Meta for Business,14,0,0,0,0,0
슬로우허밍,14,1,1,0,0,0
Casetify KR,14,0,0,1,0,0
gundamdak,14,0,1,0,0,0
트러스티푸드,14,0,0,0,0,0
모렛 Molette,14,0,0,0,0,0
리덴스,14,1,1,0,0,0
Suno,13,0,0,0,0,0
리쥬란 코스메틱,13,0,0,1,0,0
케쌤영어,13,0,0,0,0,0
러븀 Luvum,13,0,0,0,1,0
Coolean 쿨린,13,0,0,0,1,0
일센치_1cm,13,0,0,0,1,0
Marhen.j - 마르헨제이,13,0,0,0,1,0
아임반,13,0,0,0,0,0
"여행의 기준점, 브라이튼몰",13,0,0,0,0,0
Monpeach.,13,0,0,0,0,0
콰티,13,1,1,0,0,0
좋은 옷엔 좋은 옷걸이 - 엠부띠끄,13,0,0,0,1,0
플랜핏,13,0,0,0,0,0
라보 AMH 검사 서비스,13,0,0,0,0,0
