brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
218,큐브엔터테인먼트,"Cube Entertainment",NULL,NULL
219,SM엔터테인먼트,"SM Entertainment",NULL,NULL
220,케이크,Cake,,NULL
222,큐비,Cubee,NULL,NULL
223,인쌩맥주,인쌩맥주,NULL,NULL
224,국순당,KookSoonDang,백세주,NULL
225,다슈,Dashu,NULL,NULL
226,KB국민카드,"KB Kookmin Card",NULL,NULL
227,라쉬반,Lashevan,NULL,NULL
228,도브,Dove,베이비도브,NULL
229,소다,soda,NULL,NULL
230,옷골라주는여자,"옷 골라주는 여자",NULL,NULL
231,사세,Sase,NULL,NULL
232,밀레,Millet,NULL,NULL
233,블루벤트,"Blue Vent",NULL,NULL
234,야놀자,yanolja,NOL,NULL
235,철원군청,철원군청,NULL,NULL
236,오늘회,Onulhoi,NULL,NULL
237,얼루어,Allure,NULL,NULL
238,잇츠스킨,"It's skin",NULL,NULL
239,페리페라,Peripera,심플레인,NULL
240,벤튼,Benton,NULL,NULL
241,쿠쿠,CUCKOO,"넬로, 리네이처",NULL
242,코드그라피,CGP,,NULL
243,tvN,tvN,NULL,NULL
245,HP,HP,NULL,NULL
246,필리밀리,Fillimilli,NULL,NULL
247,GK유니온코리아,"GK Union Korea",NULL,NULL
248,우유자조금관리위원회,우유자조금관리위원회,"K-milk, 우유티비",NULL
249,EQL,EQL,NULL,NULL
250,국립농산물품질관리원,국립농산물품질관리원,"술품질인증제,  GAP",NULL
251,주영이앤씨,"JooYeong ENC",NULL,NULL
252,마이프로틴,Myprotein,NULL,NULL
253,3M,3M,NULL,NULL
254,AHC,AHC,NULL,NULL
255,샬롯틸버리,"Charlotte Tilbury",NULL,NULL
256,와디즈,Wadiz,NULL,NULL
257,큐원,Qone,NULL,NULL
258,컬러그램,Colorgram,NULL,NULL
259,뉴발란스,"New Balance",NULL,NULL
260,이자녹스,Isaknox,NULL,NULL
261,"캘러웨이 골프","Callaway Golf",칼라웨이,NULL
262,CU,CU,"설빙 맥주,  츄하이",NULL
263,몽키숄더,"Monkey Shoulder",NULL,NULL
264,굽네,Goobne,NULL,NULL
265,넥슨,Nexon,NULL,NULL
267,서천군,Seochun-gun,NULL,NULL
268,호요버스,Hoyoverse,NULL,NULL
269,스위치,Switch,NULL,NULL
270,NC소프트,ncsoft,배틀크러쉬,NULL
271,더마토리,Dermatory,NULL,NULL
272,훌랄라치킨,Hoolala,NULL,NULL
273,제육폭식,제육폭식,NULL,NULL
274,하이드아웃,hideout.,NULL,NULL
275,오르바이스텔라,Heureux,NULL,NULL
276,바슈롬,Bauschlomb,NULL,NULL
277,"헨드릭스 진",Hendrick's,NULL,NULL
278,딘토,Dinto,NULL,NULL
279,아디다스,Adidas,테렉스,NULL
280,정원삼,정원삼,NULL,NULL
281,브링앤티,bring&t,NULL,NULL
282,신세계푸드,"Shinsegae Food","르쎄떼, 유아왓유잇",NULL
283,썸블라썸,Someblossom,NULL,NULL
284,봉구가래떡볶이,"Bongu's Tteokbokki",NULL,NULL
285,마이리얼트립,myrealtrip,NULL,NULL
286,롯데렌터카,"Lotte rent-a-car",NULL,NULL
287,오늘습관,"Daily Habit",NULL,NULL
288,휴이온,Huion,NULL,NULL
289,크록스,crocs,NULL,NULL
290,교촌치킨,Kyochon,NULL,NULL
291,롯데백화점,"Lotte Department Store",NULL,NULL
292,경북도청,경북도청,NULL,NULL
