channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCtvF3qOM4qN3HKhDBt6Nhmw,567,592,392,796,0.02,0,-0.88,-100,43.31,605,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","IT & 전자기기","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강"
UCtZ8IklGLW-aXp_bq7BrPzw,130391,54018,140482,12667,1.86,0.97,2.18,2100,7.89,38,2,브이로그,"리뷰 & 언박싱","뷰티 & 메이크업","패션 & 의류","일상 & 라이프스타일","뷰티 & 메이크업"
UCun4wV8czkKcdMn_NDX8MIQ,69240,37711,62327,80161,1.15,1.95,5.7,9000,38.76,307,NULL,브이로그,브이로그,"일상 & 라이프스타일","뷰티 & 메이크업","연애 & 결혼","일상 & 라이프스타일"
UCUrCIBJ3ScRAOLgPElscZqA,107659,86137,106886,110798,1.12,1.78,0.56,3000,19.77,693,2,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UCv6nXR8A-wSidnF6H-2wQYg,10045,10040,10591,6167,0.98,1.56,2.04,300,12.34,924,NULL,"리뷰 & 언박싱",NULL,"의료 & 건강",NULL,"뷰티 & 메이크업",NULL
UCvD7HYdnFzBXaicx3LxRvCw,4958,2577,6043,4242,0.39,0.51,4.84,60,60.28,214,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCvKl2U_gJeXRYGJKecvPcYA,5627,2784,5143,5968,0.81,1.21,1.23,90,58.69,305,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","여행 & 캠핑","뷰티 & 메이크업"
UCvpD0KP2b7nVLbEAydjjNaQ,85637,99778,83676,98250,2.28,1.57,0.25,1000,13.45,223,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UCVRAHN1wuI9pUDyeSAc_I1A,17272,10521,17577,17188,2.55,1.69,1.61,200,78.46,701,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"연애 & 결혼"
UCwObifbiqZvhDm6emfp_vJQ,17274,355,105,18371,0.36,1.67,6.6,700,93.99,799,NULL,NULL,리액션,NULL,엔터테인먼트,NULL,음악
UCWohPFGHNprYwPOwvKlUxyQ,2000,1173,1420,2470,0.57,1.32,0.28,20,55.29,662,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"리빙 & 인테리어"
UCwtLb11h7aai6EVcdwdlVJA,86065,555125,37855,101470,0.36,0.2,2.35,600,75.78,223,NULL,브이로그,브이로그,"일상 & 라이프스타일","뷰티 & 메이크업","여행 & 캠핑","일상 & 라이프스타일"
UCWW_CFV7822ZhZjM9qEzupw,7210,10394,8533,4565,1.89,1.2,-0.6,-200,33.33,261,NULL,브이로그,브이로그,"일상 & 라이프스타일","피트니스 & 다이어트","여행 & 캠핑","연애 & 결혼"
UCwyR-5gp7NCd-2DwLtdCtcw,71070,1236,3759,82508,1.47,0.72,0.45,200,85.47,537,NULL,NULL,꿀팁,NULL,"뷰티 & 메이크업",NULL,"피트니스 & 다이어트"
UCx0ZL5ldCGMqkOGqyO1qOkw,398644,327753,379478,464633,1.34,1.03,-0.4,-3000,22.51,351,15,브이로그,브이로그,"일상 & 라이프스타일",육아,육아,"연애 & 결혼"
UCYdYEVp2t0zD5xJu0hKWAgw,36842,32622,24190,40067,0.84,1.31,26.97,4100,79.68,379,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCYieht3paO1nFDXim5KZnbg,145408,163567,187687,112047,1.25,0.79,5.53,11000,55.9,229,12,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","여행 & 캠핑","연애 & 결혼"
UCYZ7xx4T6Fq2ErsMrtadBHA,41978,81650,30756,49218,1.18,1.12,0.64,400,60.78,204,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","여행 & 캠핑"
