channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UC-oo-DlXVXzexre774Ry1Gw,8405,3081,10737,4565,1.03,1.94,0.71,100,37.78,225,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC-oyaiXwIMrvI3k7eIqZh-g,179622,169133,144580,222997,0.63,0.81,5.36,14000,45.32,267,17,브이로그,토크,"피트니스 & 다이어트","피트니스 & 다이어트","레저 & 스포츠","음식 & 음료"
UC-qJ6ZN0llyeG7vkcHX3Plw,1427,NULL,950,1736,1.1,3.38,1.57,200,60.76,2230,NULL,튜토리얼,튜토리얼,"피트니스 & 다이어트","피트니스 & 다이어트","레저 & 스포츠","취미 & 공예 & 디자인"
UC-sJHUpJNWE582kayfboxtA,520,NULL,516,1527,4.93,4.05,23.56,4100,0.42,4575,NULL,"뉴스 & 정치","뉴스 & 정치","뉴스 & 정치","뉴스 & 정치",NULL,NULL
UC-wrTgUaS97-DuwTkL2WrSg,37577,NULL,42396,7862,1.02,0.6,4.12,800,13.95,86,NULL,"예능형 콘텐츠",예고편,엔터테인먼트,엔터테인먼트,음악,음악
UC-ymThbKuM2M8lIRx-5IodA,2795,NULL,416,3428,0.46,1.93,21.71,6600,78.98,452,NULL,다큐멘터리,"리뷰 & 언박싱","IT & 전자기기","IT & 전자기기",종교,"리빙 & 인테리어"
UC-yxv88H-ZhIMNvJSfBqO_A,3755,NULL,761,4660,2.97,12.1,7.14,1300,77.16,1305,NULL,"라이브 영상","라이브 영상",엔터테인먼트,음악,음악,엔터테인먼트
UC-z8oSQVHiT3vYjTubN-edg,758,NULL,673,1013,3.45,3.63,2.4,30,26.11,157,NULL,튜토리얼,튜토리얼,"피트니스 & 다이어트","레저 & 스포츠","레저 & 스포츠",음악
UC-Za12q87wv8Eg7iiyfER0A,127205,117350,127506,131365,1.18,0.17,0.25,1000,27.97,261,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","뷰티 & 메이크업","피트니스 & 다이어트"
UC-ZclTqKP-bjQ3V2xDitIXQ,8795,9202,4649,9731,0.44,1.16,5.74,140,81.59,201,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"여행 & 캠핑"
UC008dd6EEkEedoipyn6U9rg,1320,NULL,31,1824,0.87,1.06,10.05,220,71.67,120,NULL,NULL,튜토리얼,NULL,"의료 & 건강",NULL,"뷰티 & 메이크업"
UC02CBIkE88qzILfmV0am2TA,28664,26494,31778,19097,0.86,1.57,27.16,11300,24.56,114,NULL,하울,브이로그,"패션 & 의류","패션 & 의류","일상 & 라이프스타일","IT & 전자기기"
UC0bXm7SnF_ssc47s6Ab8Yhg,1783,NULL,354,3599,0.25,0.17,1.51,8000,44.05,227,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","IT & 전자기기","IT & 전자기기",NULL,기타
UC0haUcY_r20ex2zIhZdqibg,105039,7467,3154,105342,0.19,0.19,26.71,4300,99.7,337,NULL,NULL,코미디,NULL,코미디,NULL,NULL
UC0jeX9nQHpFoViMaeic_cZw,3284,NULL,2843,4390,3.04,5.06,-1.1,-100,36,225,NULL,토크쇼,토크,"연애 & 결혼","연애 & 결혼","교육 & 커리어","교육 & 커리어"
UC0o6Vb1Yi1IoVf9m6nY_StA,2601,NULL,2053,3622,1.45,1.19,1.96,200,34.95,824,NULL,튜토리얼,튜토리얼,"피트니스 & 다이어트","레저 & 스포츠","레저 & 스포츠","피트니스 & 다이어트"
UC0Ppr16uMzDdj4UfH5u1Rug,291190,84701,176755,303653,1.16,1.03,6.05,2700,93.2,309,2,"라이브 영상",브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","여행 & 캠핑",엔터테인먼트
UC0wFSyxQw7TX9oxQGaz9EdA,232495,NULL,380970,226291,0.08,0.18,14.23,7800,95.99,698,NULL,튜토리얼,튜토리얼,"IT & 전자기기","리빙 & 인테리어","리빙 & 인테리어","IT & 전자기기"
UC0X_E9MU5JpP4s5pCUYeRqw,1305920,NULL,1500933,115316,0.1,0.02,0.44,4000,14.07,135,NULL,튜토리얼,브이로그,육아,"동물 (펫)","동물 (펫)",육아
UC0y8B-56YfgnOaDuMxFMsRQ,802992,NULL,4224,805694,0.11,0.11,10.48,110000,99.66,890,NULL,"라이브 영상","예능형 콘텐츠",엔터테인먼트,엔터테인먼트,음악,코미디
UC0ZsNvrekvSMRVdbSkqq-cQ,8359,10522,13634,1861,1.77,1.49,-0.32,-100,44.81,212,NULL,브이로그,브이로그,"여행 & 캠핑","여행 & 캠핑","음식 & 음료","일상 & 라이프스타일"
UC126cRKF7JPn6uN_szW6BaA,1523,NULL,1438,1770,0.96,2.83,5.12,230,25.46,813,NULL,자동차,자동차,자동차,자동차,NULL,NULL
