app,http_methods,url_path,norm_path,view_ref,view_file,tables_touched,usage,match_type,confidence,frontend_hits,evidence_files
monitoring,POST,/monitoring/detect-update,/monitoring/detect-update,DetectUpdateView,monitoring/views.py,ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|ugwanggi_monitoring_result|youtuber_info,UNCALLED,,HIGH,0,
monitoring,POST,/monitoring/competitor-videos,/monitoring/competitor-videos,MonitoringCompetitorVideosView,monitoring/views.py,YT_bumper_ad|brand|brand_logo|ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|users_ugwanggi|youtuber_info,CALLED,exact,HIGH,2,src/service/monitoring.js | src/service/monitoring.js
monitoring,POST,/monitoring/competitor-ranking,/monitoring/competitor-ranking,MonitoringCompetitorRankingView,monitoring/views.py,YT_bumper_ad|YT_bumper_cpm_by_industry|brand|brand_logo|ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|users_ugwanggi,CALLED,exact,HIGH,2,src/service/monitoring.js | src/service/monitoring.js
monitoring,GET,/monitoring/video-views-evolution/<str:video_id>,/monitoring/video-views-evolution/:PARAM,MonitoringVideoViewsEvolutionViews,monitoring/views.py,YT_brand_video_trend|YT_bumper_ad|YT_bumper_video_trend|brand,UNCALLED,,HIGH,0,
monitoring,POST,/monitoring/competitor-sponsored-bumper-comparison,/monitoring/competitor-sponsored-bumper-comparison,MonitoringCompetitorSponsoredBumperComparisonView,monitoring/views.py,YT_bumper_ad|YT_bumper_cpm_by_industry|brand|brand_logo|ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|users_ugwanggi,CALLED,exact,HIGH,2,src/service/monitoring.js | src/service/monitoring.js
oliveyoung,GET,/oliveyoung/categories,/oliveyoung/categories,OliveYoungProductCategoriesView,oliveyoung/views.py,oliveyoung_product_info|oliveyoung_trend_m,CALLED,exact,HIGH,2,src/service/test-olive.js | src/service/test-olive.js
oliveyoung,POST,/oliveyoung/rank,/oliveyoung/rank,OliveYoungProductRankView,oliveyoung/views.py,instagram_oliveyoung_product_post|oliveyoung_brand|oliveyoung_product_video|oliveyoung_trend_m|youtuber_info,CALLED,exact,HIGH,2,src/service/test-olive.js | src/service/test-olive.js
oliveyoung,POST,/oliveyoung/rank-on-views,/oliveyoung/rank-on-views,OliveYoungProductRankOnViewsView,oliveyoung/views.py,oliveyoung_brand|oliveyoung_product_views2|oliveyoung_trend_m,UNCALLED,,HIGH,0,
oliveyoung,POST,/oliveyoung/product-evolution,/oliveyoung/product-evolution,OliveYoungProductEvolutionView,oliveyoung/views.py,,CALLED,exact,HIGH,2,src/service/report/product-api.js | src/service/report/product-api.js
oliveyoung,GET,/oliveyoung/product-info/<str:product_id>,/oliveyoung/product-info/:PARAM,OliveYoungProductInfoView,oliveyoung/views.py,oliveyoung_product_info|oliveyoung_trend_m,CALLED,exact,HIGH,2,src/service/report/product-api.js | src/service/report/product-api.js
oliveyoung,GET,/oliveyoung/product-top-evolution/(?P<category>.+),/oliveyoung/product-top-evolution/:PARAM,OliveYoungTopEvolutionView,oliveyoung/views.py,oliveyoung_trend_m|oliveyoung_trend_m_rank,CALLED,exact,HIGH,2,src/service/test-olive.js | src/service/test-olive.js
oliveyoung,GET,/oliveyoung/top-recent-not-ppl-videos/(?P<category>.+),/oliveyoung/top-recent-not-ppl-videos/:PARAM,OliveYoungTopRecentNotPPLVideoView,oliveyoung/views.py,oliveyoung_product_video|oliveyoung_trend_m|oliveyoung_video_data|oliveyoung_video_lists,UNCALLED,,HIGH,0,
oliveyoung,GET,/oliveyoung/top-recent-ppl-videos/(?P<category>.+),/oliveyoung/top-recent-ppl-videos/:PARAM,OliveYoungTopRecentPPLVideoView,oliveyoung/views.py,oliveyoung_product_video|oliveyoung_trend_m|oliveyoung_video_data|oliveyoung_video_lists,UNCALLED,,HIGH,0,
oliveyoung,POST,/oliveyoung/product-channel,/oliveyoung/product-channel,OliveYoungProductChannelView,oliveyoung/views.py,instagram_oliveyoung_product_post|instagram_user_stat|oliveyoung_product_video|oliveyoung_video_data,CALLED,exact,HIGH,2,src/service/report/product-api.js | src/service/report/product-api.js
oliveyoung,POST,/oliveyoung/product-videos,/oliveyoung/product-videos,OliveYoungProductVideosView,oliveyoung/views.py,oliveyoung_product_video|oliveyoung_video_data,CALLED,exact,HIGH,2,src/service/report/product-api.js | src/service/report/product-api.js
oliveyoung,POST,/oliveyoung/product-date-range-video-count,/oliveyoung/product-date-range-video-count,OliveYoungProductDateRangeVideoCountView,oliveyoung/views.py,oliveyoung_product_video,CALLED,exact,HIGH,2,src/service/report/product-api.js | src/service/report/product-api.js
oliveyoung,GET,/oliveyoung/product-video-stat/<str:product_id>,/oliveyoung/product-video-stat/:PARAM,OliveYoungProductVideoStatView,oliveyoung/views.py,instagram_oliveyoung_product_post|instagram_post|oliveyoung_product_video|oliveyoung_video_data,CALLED,exact,HIGH,2,src/service/report/product-api.js | src/service/report/product-api.js
oliveyoung,POST,/oliveyoung/search-product,/oliveyoung/search-product,OliveYoungSearchProductView,oliveyoung/views.py,oliveyoung_brand|oliveyoung_product_info|oliveyoung_product_video|oliveyoung_realtime_views|oliveyoung_trend_m|youtuber_info,CALLED,exact,HIGH,2,src/service/test-olive.js | src/service/test-olive.js
oliveyoung,POST,/oliveyoung/search-video,/oliveyoung/search-video,OliveYoungSearchVideoView,oliveyoung/views.py,oliveyoung_product_video|oliveyoung_video_lists,CALLED,exact,HIGH,2,src/service/test-olive.js | src/service/test-olive.js
oliveyoung,GET,/oliveyoung/video-report/<str:video_id>,/oliveyoung/video-report/:PARAM,OliveYoungVideoReportView,oliveyoung/views.py,oliveyoung_brand|oliveyoung_product_video|oliveyoung_trend_m|oliveyoung_video_lists,CALLED,exact,HIGH,2,src/service/report/product-vid-api.js | src/service/report/product-vid-api.js
oliveyoung,POST,/oliveyoung/search-product-video,/oliveyoung/search-product-video,OliveYoungProductVideoSearchView,oliveyoung/views.py,brand_logo|oliveyoung_product_info|oliveyoung_product_video|oliveyoung_trend_m_rank,CALLED,exact,HIGH,2,src/service/test-olive.js | src/service/test-olive.js
oliveyoung,POST,/oliveyoung/product-simple-search,/oliveyoung/product-simple-search,OliveYoungProductSimpleSearchView,oliveyoung/views.py,oliveyoung_product_info,CALLED,exact,HIGH,2,src/service/test-olive.js | src/service/test-olive.js
