app,http_methods,url_path,view_ref,view_kind,view_file,tables_touched,table_count
brand,GET,/brand/info/<str:brand_name>,BrandInfoView,CBV,brand/views.py,YT_brand_bumper_cost_per_day|YT_bumper_ad|YT_bumper_on_off|brand|brand_logo|instagram_ppl_brand|users_ugwanggi|youtuber_info,8
brand,GET,/brand/detect,DetectBrandView,CBV,brand/views.py,,0
brand,GET,/brand/sponsored-video/<str:video_id>,SponsoredVideoView,CBV,brand/views.py,brand|brand_logo|youtuber_info,3
brand,POST,/brand/top-channel-sponsored-video,TopChannelSponsoredVideoView,CBV,brand/views.py,brand,1
brand,POST,/brand/calculate-brand-bumper-cost-per-day,CalculateBrandBumperCostPerDayView,CBV,brand/views.py,YT_brand_bumper_cost_per_day|YT_bumper_ad|YT_bumper_cpm_by_industry|YT_bumper_video_trend|brand_logo,5
brand,POST,/brand/similar-brand,SimilarBrandView,CBV,brand/views.py,YT_bumper_ad|brand|brand_logo|youtuber_info,4
brand,GET,/brand/ads-stat-per-month/<str:brand_name>,AdsStatPerMonthView,CBV,brand/views.py,YT_bumper_ad|YT_bumper_on_off|brand|brand_logo|users_ugwanggi,5
brand,GET,/brand/sponsored-views-engagement-evolution/<str:video_id>,SponsoredViewsEngagementEvolutionView,CBV,brand/views.py,YT_brand_video_trend,1
brand,DELETE|POST,/brand/save-brand,SaveBrandView,CBV,brand/views.py,saved_youtuber_brand_folders|ugwanggi_brand_saved|users_ugwanggi,3
brand,POST,/brand/saved-brand-list,SavedBrandListView,CBV,brand/views.py,YT_bumper_ad|brand|saved_youtuber_brand_folders|ugwanggi_brand_saved|users_ugwanggi,5
brand,POST,/brand/saved-brand-contents,SavedBrandContentsView,CBV,brand/views.py,YT_bumper_ad|brand|instagram_post_description|instagram_ppl_brand|saved_youtuber_brand_folders|ugwanggi_brand_saved|users_ugwanggi|youtuber_info,8
brand,GET,/brand/top-brand-by-channel/<str:channel_id>,TopBrandByChannelView,CBV,brand/views.py,brand|brand_logo,2
brand,POST,/brand/subscriber-evolution,SubscriberEvolutionView,CBV,brand/views.py,YT_sub_view_trend|YT_video_lists|brand_logo|users_ugwanggi|youtuber_info,5
brand,POST,/brand/videos,BrandVideosView,CBV,brand/views.py,YT_sub_view_trend|YT_video_lists|brand_logo,3
brand,GET,/brand/similar-brands/<str:brand_name>,SimilarBrandsView,CBV,brand/views.py,brand_logo,1
brand,GET,/brand/recent-brand-stat/<str:brand_name>,RecentBrandStatView,CBV,brand/views.py,YT_sub_view_trend|YT_video_lists|brand_logo,3
brand,GET,/brand/can-access-brand-report/<str:brand_name>,CanAccessBrandReportView,CBV,brand/views.py,brand_logo|ugwanggi_brand_report_access|users_ugwanggi,3
brand,POST,/brand/ask-access-brand-report,AskAccessBrandReportView,CBV,brand/views.py,brand_logo|ugwanggi_brand_report_access|ugwanggi_linked_user|ugwanggi_partners|users_ugwanggi,5
brand,GET,/brand/can-access-instagram-brand-report/<str:brand_name>,CanAccessInstagramBrandReportView,CBV,brand/views.py,brand_logo|ingwanggi_brand_report_access|users_ugwanggi,3
brand,POST,/brand/ask-access-instagram-brand-report,AskAccessInstagramBrandReportView,CBV,brand/views.py,brand_logo|ingwanggi_brand_report_access|ugwanggi_linked_user|ugwanggi_partners|users_ugwanggi,5
