from_app,from_model,from_table,from_field,from_column,relation_type,to_model,to_table,to_column,on_delete,null,from_col_in_schema,to_col_in_schema,from_table_used,to_table_used,file
user,LinkedUser,ugwanggi_linked_user,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,user/models.py
user,LinkedUser,ugwanggi_linked_user,linked_user_id,linked_user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,user/models.py
user,ActionTracker,ugwanggi_action_tracker,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,True,True,True,True,True,user/models.py
user,PageUsageDuration,ugwanggi_page_usage_duration,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,True,True,True,True,True,user/models.py
user,UserCreatorDBRequest,ugwanggi_user_creator_db_request,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,True,True,True,True,True,user/models.py
youtube,Demography,demography,channel_id,channel_id,OneToOneField,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,YTSubViewTrend,YT_sub_view_trend,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,YTVideoTrending,YT_video_trending,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,,False,True,True,True,True,youtube/models.py
youtube,YTVideoTrending,YT_video_trending,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,YTTagCentrality,YT_tag_centrality,channel_id,channel_id,OneToOneField,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,CreatorCampList,ugwanggi_creator_camp_list,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,youtube/models.py
youtube,CreatorListup,ugwanggi_creator_listup,creator_list_id,creator_list_id,ForeignKey,CreatorCampList,ugwanggi_creator_camp_list,creator_list_id,,False,True,True,True,True,youtube/models.py
youtube,YTUsersStat,youtuber_stats,channel_id,channel_id,OneToOneField,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,YTVideosLast10,YT_videos_last_10,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,CASCADE,False,False,True,False,True,youtube/models.py
youtube,YTVideosLast10,YT_videos_last_10,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,CASCADE,False,False,True,False,True,youtube/models.py
youtube,YoutuberSaved,ugwanggi_youtuber_saved,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,YoutuberSaved,ugwanggi_youtuber_saved,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,youtube/models.py
youtube,YoutuberSaved,ugwanggi_youtuber_saved,folder_id,folder_id,ForeignKey,SavedFolder,saved_youtuber_brand_folders,id,CASCADE,False,True,True,True,True,youtube/models.py
youtube,ChannelDemographyInfoAccess,ugwanggi_channel_demography_info_access,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,youtube/models.py
youtube,ChannelDemographyInfoAccess,ugwanggi_channel_demography_info_access,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,CommentAnalysis,YT_comment_analysis,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,CASCADE,False,True,True,True,True,youtube/models.py
youtube,CommentAnalysis,YT_comment_analysis,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,Comment,YT_comment,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,CASCADE,False,True,True,True,True,youtube/models.py
youtube,Comment,YT_comment,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,youtube/models.py
youtube,YTVideoTrendingSub,YT_video_trending_sub,video_id,video_id,ForeignKey,YTVideoLists,YT_video_lists,video_id,,False,True,True,True,True,youtube/models.py
youtube,YTVideoTrendingDuration,YT_video_trending_duration,video_id,video_id,OneToOneField,YTVideoTrending,YT_ugwanggi_video_trending,video_id,CASCADE,False,True,True,True,True,youtube/models.py
youtube,SavedFolder,saved_youtuber_brand_folders,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,youtube/models.py
youtube,YTCategoryClass,youtuber_category_class,channel_id,channel_id,OneToOneField,YTUSers,youtuber_info,channel_id,CASCADE,False,True,True,True,True,youtube/models.py
youtube,CreatorListupAIChat,ugwanggi_creator_listup_ai_chat,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,CASCADE,False,True,True,True,True,youtube/models.py
youtube,YTVideoFormat,YT_video_format,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,CASCADE,False,True,True,True,True,youtube/models.py
youtube,YTVideoContentClassTrack,YT_video_content_class_track,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,CASCADE,False,True,True,True,True,youtube/models.py
search,KeywordHistory,ugwanggi_keywords_history,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,search/models.py
search,KeywordHistory,ugwanggi_keywords_history,keyword,keyword,ForeignKey,SearchedKeyword,ugwanggi_keywords_search,keyword,,False,True,True,True,True,search/models.py
search,RelatedKeywords,ugwanggi_related_keywords,keyword,keyword,ForeignKey,SearchedKeyword,ugwanggi_keywords_search,keyword,,False,True,True,True,True,search/models.py
search,KeywordResult,ugwanggi_keywords_result,keyword,keyword,ForeignKey,SearchedKeyword,ugwanggi_keywords_search,keyword,,False,True,True,True,True,search/models.py
search,TopNaverKeyword,naver_weekly_trend_rank,category_id,category_id,ForeignKey,NaverKeywordCategory,naver_weekly_trend_categories,category_id,SET_NULL,True,True,True,True,True,search/models.py
partner,Partner,ugwanggi_partners,owner_id,owner_id,OneToOneField,User,users_ugwanggi,user_id,SET_NULL,True,True,True,True,True,partner/models.py
partner,PartnerTeam,ugwanggi_partner_team,partner_id,partner_id,ForeignKey,Partner,ugwanggi_partners,partner_id,,False,True,True,True,True,partner/models.py
partner,PartnerTeam,ugwanggi_partner_team,leader_id,leader_id,ForeignKey,User,users_ugwanggi,user_id,PROTECT,True,True,True,True,True,partner/models.py
partner,PartnerTeamLink,ugwanggi_partner_team_link,partner_team_id,partner_team_id,ForeignKey,PartnerTeam,ugwanggi_partner_team,partner_team_id,,False,True,True,True,True,partner/models.py
partner,PartnerTeamLink,ugwanggi_partner_team_link,user_id,user_id,OneToOneField,User,users_ugwanggi,user_id,,False,True,True,True,True,partner/models.py
partner,PartnerCreatorBookmarkFolder,ugwanggi_partner_creator_bookmark_folder,partner_id,partner_id,ForeignKey,Partner,ugwanggi_partners,partner_id,,False,True,True,True,True,partner/models.py
partner,PartnerCreatorBookmarkFolder,ugwanggi_partner_creator_bookmark_folder,partner_team_id,partner_team_id,ForeignKey,PartnerTeam,ugwanggi_partner_team,partner_team_id,,True,True,True,True,True,partner/models.py
partner,PartnerCreatorBookmarkFolder,ugwanggi_partner_creator_bookmark_folder,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,partner/models.py
partner,PartnerCreatorBookmark,ugwanggi_partner_creator_bookmark,creator_bookmark_folder_id,creator_bookmark_folder_id,ForeignKey,PartnerCreatorBookmarkFolder,ugwanggi_partner_creator_bookmark_folder,creator_bookmark_folder_id,,False,True,True,True,True,partner/models.py
partner,PartnerCreatorBookmark,ugwanggi_partner_creator_bookmark,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,partner/models.py
partner,PartnerCreatorBookmark,ugwanggi_partner_creator_bookmark,channel_stat,channel_stat,ForeignKey,YTUsersStat,youtuber_stats,channel_id,,False,True,True,True,True,partner/models.py
partner,PartnerDatalab,ugwanggi_partner_datalab,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,CASCADE,False,True,True,True,True,partner/models.py
partner,PartnerDatalab,ugwanggi_partner_datalab,partner_id,partner_id,ForeignKey,Partner,ugwanggi_partners,partner_id,,False,True,True,True,True,partner/models.py
partner,PartnerDatalab,ugwanggi_partner_datalab,partner_team_id,partner_team_id,ForeignKey,PartnerTeam,ugwanggi_partner_team,partner_team_id,,False,True,True,True,True,partner/models.py
partner,PartnerDatalabMessage,ugwanggi_partner_datalab_message,datalab_id,datalab_id,ForeignKey,PartnerDatalab,ugwanggi_partner_datalab,datalab_id,CASCADE,False,True,True,True,True,partner/models.py
partner,PartnerDatalabMessage,ugwanggi_partner_datalab_message,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,SET_NULL,True,True,True,True,True,partner/models.py
partner,PartnerDatalabFile,ugwanggi_partner_datalab_file,datalab_id,datalab_id,ForeignKey,PartnerDatalab,ugwanggi_partner_datalab,datalab_id,CASCADE,False,True,True,True,True,partner/models.py
partner,PartnerDatalabFile,ugwanggi_partner_datalab_file,datalab_message_id,datalab_message_id,ForeignKey,PartnerDatalabMessage,ugwanggi_partner_datalab_message,datalab_message_id,CASCADE,True,True,True,True,True,partner/models.py
partner,CreatorListupFilter,ugwanggi_creator_listup_filter,partner_team_id,partner_team_id,ForeignKey,PartnerTeam,ugwanggi_partner_team,partner_team_id,CASCADE,True,True,True,True,True,partner/models.py
partner,TrackedAdFolder,ugwanggi_tracked_ad_folder,partner_id,partner_id,ForeignKey,Partner,ugwanggi_partners,partner_id,,False,True,True,True,True,partner/models.py
partner,TrackedAdFolder,ugwanggi_tracked_ad_folder,partner_team_id,partner_team_id,ForeignKey,PartnerTeam,ugwanggi_partner_team,partner_team_id,,False,True,True,True,True,partner/models.py
partner,TrackedAdFolderStat,ugwanggi_tracked_ad_folder_stat,tracked_ad_folder_id,tracked_ad_folder_id,ForeignKey,TrackedAdFolder,ugwanggi_tracked_ad_folder,tracked_ad_folder_id,,False,True,True,True,True,partner/models.py
partner,TrackedAd,ugwanggi_tracked_ad,partner_id,partner_id,ForeignKey,Partner,ugwanggi_partners,partner_id,,False,True,True,True,True,partner/models.py
